variant,rows,scale,contact,morphology,physical_regime,physical_to_scale_ratio,contact_to_scale_ratio,bootstrap_n,physical_gt_scale_rate,ratio_p05,ratio_p50,ratio_p95
baseline,1500,142,735,275,1010,7.112676056338028,5.176056338028169,400,1.0,6.248366013071895,7.056338028169014,8.28225806451613
strict_terms,1500,15,226,72,298,19.866666666666667,15.066666666666666,400,1.0,13.590909090909092,19.785714285714285,32.333333333333336
scale_favorable,1500,233,223,45,268,1.150214592274678,0.9570815450643777,400,0.93,0.9883268482490273,1.1497797356828194,1.3408071748878925
