model_scale,policy,success,utility,representation_error,contact_failure,latency_miss,safety_violation,morphology_loss,bottleneck_share,exception_severity,monotonic_scale_gain,scale_saturation,intervention_recovery,data_efficiency,regime_mismatch,weight
m00,contact_instrumented,0.6484160498214556,0.44349096579427366,0.3082571788224212,0.12229310476100896,0.2197712321335706,0.2223106286435138,0.23083964307163085,0.5884235674446475,0.23199592873220448,0.016155402719108414,0.13885986157205857,0.24120294606619722,0.32009651930951794,0.3563367537109217,4076863488
m00,data_scaled_foundation,0.5060334949662918,0.14763548120502273,0.3039371160569832,0.3162150288096391,0.26300803464964173,0.27341603986956936,0.2809348995127906,0.5884235674446475,0.43586587697390106,-0.022029334699619645,0.2522945067971725,0.027324402425310042,0.2969763330980834,0.5594235711080094,4076863488
m00,embodiment_diverse_scaling,0.5716615564229349,0.2820494361469714,0.2955759490408939,0.2968244059264156,0.25060084990890075,0.2588411102634995,0.16260547875557566,0.5884235674446475,0.3562386525839983,-0.007022089485444226,0.20808506140900604,0.11508622584398935,0.328456173201168,0.47679693897008923,4076863488
m00,latency_safety_guarded,0.7110011213905002,0.5784636364079001,0.3035246818696268,0.2651703870242416,0.10145044784230817,0.07013710450424389,0.24140778148578126,0.5884235674446475,0.17354659450822157,0.030053136403430995,0.09768035446543909,0.31994284116657207,0.3257559428282814,0.27678715669902465,4076863488
m00,oracle_bottleneck_router,0.9965967959720494,1.0,0.25405326970970327,0.022984228987019042,0.010488375719266835,0.0,0.009184251876810995,0.5884235674446475,0.0,0.06677579999999535,0.0,0.6639507710197502,0.4113091621333334,0.0,4076863488
m00,regime_aware_router,0.8731304649640553,0.8692159133637937,0.274806640243049,0.12003889323334804,0.09406908827039129,0.059556958581840014,0.09710862169816564,0.5884235674446475,0.08618091847665202,0.05245267322232789,0.03540176876085555,0.5263606186865083,0.3745191229531201,0.1191739214975295,4076863488
m00,scale_only_foundation,0.4959698964906397,0.12064986740527245,0.3229213050108748,0.3200558733803124,0.2634048100596747,0.2761097964102351,0.28901599777090414,0.5884235674446475,0.5009925152333489,-0.026539030660554984,0.26634509241535337,0.020793332933457215,0.2890156761785519,0.5674231823035804,4076863488
m01,contact_instrumented,0.6534057576149025,0.44982193736707227,0.2884926051756464,0.12144261952787501,0.220064697671036,0.2228805500137769,0.22985141438929182,0.5884235674446475,0.24419028470455048,0.058248121303192214,0.17397045968421423,0.24120294606619722,0.3273015992625303,0.35700753208226066,4076863488
m01,data_scaled_foundation,0.5113049325757701,0.15295215070579024,0.28084835902258337,0.315756077989171,0.26381861242603544,0.27502801640595026,0.2797804616610682,0.5884235674446475,0.4557839208068077,0.005215079457909655,0.3074940181657532,0.027324402425310042,0.30554791982301277,0.561276320311201,4076863488
m01,embodiment_diverse_scaling,0.5770664790338187,0.288204689180948,0.27266292031728534,0.2961543113810875,0.2512174511897276,0.2600609109342474,0.16145982731939557,0.5884235674446475,0.3730505840336651,0.026211244157168818,0.2551484303057834,0.11508622584398935,0.33670282321133266,0.4782063133262643,4076863488
m01,latency_safety_guarded,0.7159223896623349,0.5851820638537175,0.2844079915171621,0.2642470466736982,0.10164615127908343,0.07051004457078668,0.24045194696815897,0.5884235674446475,0.18294732728909868,0.07785462106860748,0.12436731588389781,0.31994284116657207,0.3327050100514239,0.2772344788402303,4076863488
m01,oracle_bottleneck_router,0.9985368263597295,1.0,0.23009937451118898,0.021546995275107356,0.010488375719266835,0.0,0.008543716908774207,0.5884235674446475,0.0,0.1335515999999907,0.0,0.6639507710197502,0.4201835941333318,0.0,4076863488
m01,regime_aware_router,0.8789998891605374,0.8783164212818572,0.2528998363491341,0.1188860080307579,0.09421042092255505,0.05981656618211538,0.09601328150346929,0.5884235674446475,0.09035473290284779,0.11123275501396535,0.04549390324447155,0.5263606186865083,0.3826071439745543,0.11949696755961871,4076863488
m01,scale_only_foundation,0.5016196363375991,0.12641183578122825,0.29654285872069996,0.3197414453812617,0.2645145539907373,0.27832299571238206,0.2876970754563933,0.5884235674446475,0.521831399431867,-0.00047273217975709746,0.3222688682652942,0.020793332933457215,0.29872876029269985,0.5699597398603007,4076863488
m02,contact_instrumented,0.6583011798857384,0.45597690610753855,0.2692365782060549,0.12062264709537192,0.2203581632084979,0.22345108164005553,0.228888613040812,0.5884235674446475,0.2563846406768972,0.10031950701736858,0.2091663892760054,0.24120294606619722,0.33450667921553956,0.35767831045361426,4076863488
m02,data_scaled_foundation,0.5167339660177834,0.15860996037463992,0.25663025248518206,0.3152293661985203,0.2646291902024309,0.27663863772292724,0.27856955633419944,0.5884235674446475,0.47570196463971237,0.032459493615439254,0.36269352953433026,0.027324402425310042,0.3141195065479402,0.5631290695143825,4076863488
m02,embodiment_diverse_scaling,0.5824857833561868,0.2944044846860714,0.24956705223160155,0.2954732464740348,0.2518340524705552,0.2612804921977617,0.1603050339151103,0.5884235674446475,0.38986251548332795,0.05944457779978207,0.30221179920255864,0.11508622584398935,0.34494947322149344,0.4796156876824366,4076863488
m02,latency_safety_guarded,0.7208772784833548,0.5918986791727777,0.265494079527908,0.2633358730249442,0.10184185471586002,0.07088322797136568,0.23950625136869716,0.5884235674446475,0.1923480600699787,0.12553303164294405,0.15154657366571703,0.31994284116657207,0.33965407727456914,0.2776818009814342,4076863488
m02,oracle_bottleneck_router,0.9994546226616181,1.0,0.20581173665474273,0.02008973700372157,0.010488375719266835,0.0,0.007948294936872036,0.5884235674446475,0.0,0.20032739999997792,0.0,0.6639507710197502,0.429058026133332,0.0,4076863488
m02,regime_aware_router,0.8850939750144383,0.8877762317200779,0.230138636789246,0.11768185908820818,0.09435175357471902,0.0600751485075913,0.09487522152547538,0.5884235674446475,0.09452854732904468,0.17001283680560175,0.05558603772808896,0.5263606186865083,0.39069516499598644,0.11982001362170441,4076863488
m02,scale_only_foundation,0.5075228667103123,0.13252063562888966,0.26954883774472843,0.31939008290106197,0.26562429792180325,0.28053545632490606,0.28634737440759445,0.5884235674446475,0.5426702836303848,0.0255935663010408,0.37819264411522774,0.020793332933457215,0.30844184440685063,0.5724962974170188,4076863488
m03,contact_instrumented,0.6638686434739783,0.4630317835382178,0.2472875139719964,0.11967835789207452,0.22068423602790174,0.22408434149479542,0.22779115982911055,0.5884235674446475,0.2699339250906176,0.1470614583806358,0.24828910876570365,0.24120294606619722,0.3425123236077725,0.35842361975510384,4076863488
m03,data_scaled_foundation,0.5225198940036665,0.16442235296040292,0.23113456354511147,0.31472892997500024,0.26552983217620174,0.27842991294599756,0.277294771887196,0.5884235674446475,0.49783312445403693,0.06273106490158299,0.4240263199438586,0.027324402425310042,0.32364349179786084,0.5651876797401442,4076863488
m03,embodiment_diverse_scaling,0.5884681068255488,0.30112697423206036,0.22467004689303294,0.29476241190715446,0.25251916500480887,0.26263650057493176,0.1590601836481813,0.5884235674446475,0.40854243931629713,0.09637050406935192,0.35450443131009013,0.11508622584398935,0.3541124176772273,0.4811816591893012,4076863488
m03,latency_safety_guarded,0.7263395585993945,0.599295006000078,0.24462825087114753,0.26233243560620767,0.10205930297894679,0.07129805574916233,0.23846295993585784,0.5884235674446475,0.20279331871540004,0.17847403523672603,0.1818857816007765,0.31994284116657207,0.34737526307805966,0.27817882558277196,4076863488
m03,oracle_bottleneck_router,0.9998810538314526,1.0,0.17921557160750362,0.018493967100886657,0.010488375719266835,0.0,0.007343471798910708,0.5884235674446475,0.0,0.2745227333334002,0.0,0.6639507710197502,0.43891850613333583,0.0,4076863488
m03,regime_aware_router,0.8914861865430566,0.8977461620852367,0.20590213742464616,0.11640713916082601,0.09450878985490153,0.06036372666940738,0.09366339655724489,0.5884235674446475,0.09916611891370705,0.23532384121884697,0.06680031079751192,0.5263606186865083,0.3996818550198017,0.12017895369069177,4076863488
m03,scale_only_foundation,0.5141499704357859,0.13942584428384822,0.2392436934230357,0.3189809728843838,0.266857346734097,0.2829933717491585,0.28483211719150847,0.5884235674446475,0.565824599406506,0.05455612016859485,0.440330172837383,0.020793332933457215,0.3192341600892364,0.5753146947022615,4076863488
m04,contact_instrumented,0.6684125137416786,0.46882594215047785,0.22934782400808493,0.1189001002148385,0.2209450942834251,0.22459049285229804,0.22689417533091585,0.5884235674446475,0.28077335262159514,0.184454911911719,0.27958771459558535,0.24120294606619722,0.34891683912156035,0.3590198671963042,4076863488
m04,data_scaled_foundation,0.5273846303639683,0.1694299120712843,0.2098649747325654,0.3142761987365528,0.2662503457552189,0.2798618854792616,0.27623129244656863,0.5884235674446475,0.5155380523055142,0.0869483219304968,0.4730925522714846,0.027324402425310042,0.3310668013311287,0.5668345679207528,4076863488
m04,embodiment_diverse_scaling,0.593027840363569,0.306206819090517,0.20511359626338152,0.29421541347212,0.2530672550322136,0.26372174066103415,0.15808236111670007,0.5884235674446475,0.4234863783826703,0.1259112450850074,0.39633853699611155,0.11508622584398935,0.3611883335084826,0.482434436394791,4076863488
m04,latency_safety_guarded,0.7307618458140702,0.605303792301863,0.2276895483334672,0.261514923294482,0.10223326158941366,0.07162962272386465,0.23761602480897323,0.5884235674446475,0.21114952563173484,0.2208182250120073,0.20619160034779194,0.31994284116657207,0.3535522117208574,0.27857644526384434,4076863488
m04,oracle_bottleneck_router,0.9999677896080336,1.0,0.15910907794203358,0.017287577480959226,0.010488375719266835,0.0,0.006878648440036719,0.5884235674446475,0.0,0.33387900000000115,0.0,0.6639507710197502,0.44624199573333384,0.0,4076863488
m04,regime_aware_router,0.8967093954018408,0.905843429834357,0.18641610820500168,0.11538155343524213,0.09463441887904624,0.06059447300318653,0.09268909509626266,0.5884235674446475,0.10287617618143746,0.28752731482352606,0.07595304895673335,0.5263606186865083,0.4068712070388546,0.12046610574588316,4076863488
m04,scale_only_foundation,0.5191844660101665,0.14458913337534435,0.2156204907501268,0.31869093963810247,0.2678437857839319,0.28496044918390023,0.28365095705786375,0.5884235674446475,0.5843480520274156,0.07772616326263597,0.49004019581511,0.020793332933457215,0.327868012635146,0.5775694125304529,4076863488
