task,policy,success,utility,representation_error,contact_failure,latency_miss,safety_violation,morphology_loss,bottleneck_share,exception_severity,monotonic_scale_gain,scale_saturation,intervention_recovery,data_efficiency,regime_mismatch,weight
t00,contact_instrumented,0.703418239046201,0.5459151338536085,0.22958738360656758,0.09703010347618635,0.18622785147780072,0.18511566661996032,0.18638350677207335,0.48031750430226117,0.21285931780919412,0.11142052990315235,0.1677166048804671,0.1928637145597801,0.34972859322799293,0.29665900500919595,2548039680
t00,data_scaled_foundation,0.5893087375955389,0.3087060018916366,0.2135860885904555,0.2492911721334071,0.22408154364308724,0.22879240628214567,0.22574978686266003,0.48031750430226117,0.38865008465162515,0.05202137185129056,0.2923022184235233,0.022461607133724807,0.3341232165001823,0.4596887072463222,2548039680
t00,embodiment_diverse_scaling,0.6435860110450998,0.4197436817846711,0.20885274538385815,0.233254528424738,0.2120349102896376,0.2155206033376036,0.13100443278275506,0.48031750430226117,0.3195606963202073,0.07583074986619824,0.24307429063055108,0.09199858432707458,0.36305883229518926,0.39278267846427267,2548039680
t00,latency_safety_guarded,0.7585978341104648,0.6654050924348027,0.22664130986822878,0.20910141461522774,0.08631212946615491,0.05784055466254908,0.19510805991674796,0.48031750430226117,0.15619478691929028,0.13587307547412855,0.11692664496360289,0.2635023369612806,0.35389991592150355,0.22525567084733075,2548039680
t00,oracle_bottleneck_router,0.9981987929958936,1.0,0.17159176950334,0.01656111868525459,0.010165646035243378,0.0,0.007427429295322139,0.48031750430226117,0.0,0.2018113066666639,0.0,0.5573798418411586,0.43731573685332953,0.0,2548039680
t00,regime_aware_router,0.899565625618255,0.912980719119457,0.19447729303547426,0.09244010278323189,0.08092117682425391,0.048862450852109496,0.07754581952265617,0.48031750430226117,0.08365683451385166,0.17202769209062999,0.04835602000080653,0.43343231002270705,0.40061530458938094,0.10594339131625814,2548039680
t00,scale_only_foundation,0.5816590259749633,0.2876648260946058,0.22634118301812128,0.2532703107967877,0.22386850659287666,0.23132077407894897,0.23278536308706357,0.48031750430226117,0.44331460725131444,0.04575577891780075,0.3068711457144827,0.018722881280708915,0.32870671974980037,0.46732894545041526,2548039680
t01,contact_instrumented,0.6751920026393472,0.490411897755027,0.25908966788382337,0.12807592518716893,0.20212296432146973,0.21043236941994614,0.20552476968192562,0.5649581624108576,0.23920923375106806,0.10701223586575093,0.19306271818617524,0.24253517693157994,0.3385596210245745,0.33338000627996855,2548039680
t01,data_scaled_foundation,0.5319931621020644,0.18998142904320317,0.2471024877845236,0.33793892327794944,0.24505305017566117,0.2606871924700641,0.24970601411689014,0.5649581624108576,0.45723346140787907,0.03714897234643319,0.3484399598433234,0.02549434464953704,0.3179439589537115,0.5408035180426247,2548039680
t01,embodiment_diverse_scaling,0.5926636458856204,0.31516704371765447,0.2413829054671863,0.3166734769427,0.2346719815276374,0.24665732239723417,0.14447379761997808,0.5649581624108576,0.37737648202669233,0.06262472960356648,0.2923066391095193,0.10917997264904611,0.3480144792582519,0.46384162793208444,2548039680
t01,latency_safety_guarded,0.7247952101624663,0.5987135695892092,0.2573162675783716,0.2817662791394262,0.09363815033522292,0.06786387104671719,0.21573604880830372,0.5649581624108576,0.18870523188465377,0.1267885388241696,0.14838154732936457,0.3013275642460558,0.34158422908380787,0.27213717747231886,2548039680
t01,oracle_bottleneck_router,0.9986383354104766,1.0,0.19806855485951252,0.02028114074064196,0.011962856082524374,0.0,0.007748548207829295,0.5649581624108576,0.0,0.2018113066666639,0.0,0.6412217703840032,0.43029109685332756,0.0,2548039680
t01,regime_aware_router,0.8869230873914745,0.8905771754931107,0.22285808190294318,0.12617494761677722,0.0874427687420693,0.05646482909464353,0.08568923076659332,0.5649581624108576,0.09279566166813671,0.1713494305069981,0.05457844772380365,0.5041754521287146,0.3922846384026196,0.11751548228525327,2548039680
t01,scale_only_foundation,0.5236770214971843,0.166217496746386,0.25943180632464785,0.34190804301286415,0.24428190509023173,0.26394734250669644,0.25600940185882154,0.5649581624108576,0.5214679145045966,0.030422361837562847,0.3636846639380391,0.017975224706219865,0.31238410082763035,0.549714014759023,2548039680
t02,contact_instrumented,0.6587944315108402,0.45866705088541476,0.2791464952941326,0.1340736203923718,0.2200551638128323,0.21042841363106193,0.2322667136504836,0.6012659132559843,0.25486695930914294,0.10303882331437851,0.20821525483593392,0.25545173214475997,0.33259584925931424,0.3552004188731088,2548039680
