latency,policy,success,utility,representation_error,contact_failure,latency_miss,safety_violation,morphology_loss,bottleneck_share,exception_severity,monotonic_scale_gain,scale_saturation,intervention_recovery,data_efficiency,regime_mismatch,weight
l00,contact_instrumented,0.6693186560441045,0.4793624042950765,0.26674644883265686,0.12041623719877366,0.17503646627763333,0.22334719970728018,0.22876410657214336,0.5584169500802265,0.24070865709704958,0.10576902798526158,0.1945584131135695,0.23329105829964536,0.33717495211968584,0.3354695765873477,6794772480
l00,data_scaled_foundation,0.5313827811132741,0.19040588641822603,0.25417913739531073,0.31495655506115183,0.20905565611090177,0.27641312909421295,0.2784470005797045,0.5584169500802265,0.4517949018676484,0.038350319509860495,0.3439885898243759,0.025824071557089042,0.3175210596966084,0.5343712945542303,6794772480
l00,embodiment_diverse_scaling,0.5960648018719245,0.3237781072318707,0.24735774754513162,0.2952337882768461,0.19904527750961626,0.2610886281808154,0.16019456868078613,0.5584169500802265,0.36826649324289223,0.06544425473939725,0.2845491936009031,0.11183655676876025,0.3481292975077865,0.45264493956124635,6794772480
l00,latency_safety_guarded,0.722405528399929,0.5949261538787632,0.26472350306691406,0.2632813246392627,0.08200841797412081,0.07086758785711293,0.23946772254564694,0.5584169500802265,0.18886943191606426,0.12629234465953496,0.14869571877390936,0.29522724767594305,0.3404086444194536,0.27237414951159844,6794772480
l00,oracle_bottleneck_router,0.9983447651044557,1.0,0.20565780608503265,0.02008050116953891,0.008671659773780104,0.0,0.007979676792281004,0.5584169500802265,0.0,0.20181130666668126,0.0,0.6339441536553112,0.4291422568533296,0.0,6794772480
l00,regime_aware_router,0.8858421305885141,0.8893164512539378,0.2297322273640864,0.11764505368835138,0.07585789800047388,0.06005267593948561,0.09485490105421733,0.5584169500802265,0.09165543058831106,0.17154116635496816,0.053790113851988744,0.5000775363286311,0.3912987507875523,0.11607163694647318,6794772480
l00,scale_only_foundation,0.5225088219812127,0.1655132919503461,0.26643895688310526,0.31903184881472546,0.20952687537172232,0.2802279194825574,0.28619188036451276,0.5584169500802265,0.5154276017081184,0.031607818240065776,0.359293992902918,0.01959306823888067,0.31195388022865306,0.5433466622778933,6794772480
l01,contact_instrumented,0.6589077555591972,0.45716717815577773,0.2684642592924689,0.12058153762072646,0.21840653064796747,0.22345941135586078,0.22884999709513293,0.5873802860077569,0.25611670051817736,0.10138096266732335,0.20944387343377105,0.24090622706828255,0.3347515510135073,0.35694220733498677,6794772480
l01,data_scaled_foundation,0.5171783064733687,0.1594640692447251,0.25640293322721436,0.3152311221948818,0.2632654124802509,0.27666561435857023,0.2785581903712993,0.5873802860077569,0.47529778216845986,0.033248547416152546,0.36322719608089005,0.02727223835346705,0.3143838397267517,0.5621687424530268,6794772480
l01,embodiment_diverse_scaling,0.5831141420792612,0.29562769475355455,0.24944356996863823,0.2954771935942984,0.24954215936483182,0.26130044423823734,0.1602988598019626,0.5873802860077569,0.38947998818548724,0.06035107772509157,0.3026139124310362,0.11496362434657681,0.34518672352382535,0.4787177198550463,6794772480
