data_scale,policy,success,utility,representation_error,contact_failure,latency_miss,safety_violation,morphology_loss,bottleneck_share,exception_severity,monotonic_scale_gain,scale_saturation,intervention_recovery,data_efficiency,regime_mismatch,weight
d00,contact_instrumented,0.6525315710748724,0.4374860210759044,0.29000667077161213,0.12187630574232011,0.2203646846648855,0.2234891977257705,0.2299271176690919,0.5884235674446497,0.2566556263651742,0.10124788026640516,0.20997470677871424,0.24120294606619574,0.21690513372335085,0.35769321663964015,5096079360
d00,data_scaled_foundation,0.5076529479680881,0.13570636142741366,0.28971190900134897,0.31723485169174787,0.2646472030419065,0.27671477311174125,0.28022363916000664,0.5884235674446497,0.4761445878359945,0.03306492504116176,0.36392018534252146,0.027324402425310302,0.207508707239869,0.5631702417188992,5096079360
d00,embodiment_diverse_scaling,0.5756870896876302,0.27485359911983964,0.27434434246995826,0.29697554360340433,0.25184775472124227,0.2613379426417185,0.16154389842702846,0.5884235674446497,0.39023611395999064,0.06018309632517274,0.303257651844709,0.11508622584398984,0.23519696332575696,0.4796470071125759,5096079360
d00,latency_safety_guarded,0.7150975611014273,0.5728657825669266,0.28664044453166265,0.26460962517118236,0.10184620368112227,0.0709174009448139,0.2405635696188833,0.5884235674446497,0.1925569652428874,0.1265466098727432,0.1523343251927244,0.3199428411665685,0.21602753161910232,0.2776917414734591,5096079360
d00,oracle_bottleneck_router,0.9976195438460421,1.0,0.23401523142019454,0.02178194668964872,0.010488375719266623,0.0,0.008676332986117162,0.5884235674446497,0.0,0.2018113066666638,0.0,0.6639507710197475,0.28188091253333514,0.0,5096079360
d00,regime_aware_router,0.8781434282801385,0.865905353352283,0.255318571042234,0.11919624454407757,0.09435489430032279,0.0601117176679161,0.09613421823812436,0.5884235674446497,0.09462129876073772,0.17130988421685328,0.0558470138975321,0.5263606186865097,0.25386628715437426,0.11982719242308511,5096079360
d00,scale_only_foundation,0.5022198194696537,0.11604684794229089,0.2885857721238113,0.32056048293665884,0.26564895889805,0.2806081862781089,0.2872992211265484,0.5884235674446497,0.5431333699459016,0.02617281737839214,0.3794353946896736,0.020793332933457333,0.20751202846238864,0.5725526653627214,5096079360
d01,contact_instrumented,0.6566541208330524,0.45021075889693124,0.2752154208733173,0.12098883074842347,0.2203646846648855,0.2234714482258908,0.22918755517417522,0.5884235674446497,0.2566556263651742,0.10124788026640516,0.20997470677871424,0.24120294606619574,0.2954129059767061,0.35769321663964015,5096079360
d01,data_scaled_foundation,0.513657468153763,0.15084732507219903,0.2678173910094336,0.3159211806122345,0.2646472030419065,0.2766884996901492,0.2791289132604095,0.5884235674446497,0.4761445878359945,0.03306492504116176,0.36392018534252146,0.027324402425310302,0.2787095599152493,0.5631702417188992,5096079360
d01,embodiment_diverse_scaling,0.5803026586710242,0.28795878722355234,0.2576225459761013,0.29597223581377463,0.25184775472124227,0.26131787648592714,0.16070780860233502,0.5884235674446497,0.39023611395999064,0.06018309632517274,0.303257651844709,0.11508622584398984,0.3084874758489916,0.4796470071125759,5096079360
d01,latency_safety_guarded,0.7190701938000411,0.5857200278001556,0.27213236535004576,0.26373914042028485,0.10184620368112227,0.07089999124979607,0.23983816565980237,0.5884235674446497,0.1925569652428874,0.1265466098727432,0.1523343251927244,0.3199428411665685,0.2985481778667931,0.2776917414734591,5096079360
d01,oracle_bottleneck_router,0.99873388278052,1.0,0.21494242503671088,0.020637578306639877,0.010488375719266623,0.0,0.008201498852258312,0.5884235674446497,0.0,0.2018113066666638,0.0,0.6639507710197475,0.38013046133333306,0.0,5096079360
d01,regime_aware_router,0.8827857488353703,0.8805080185219325,0.23843074277883855,0.11818297484827364,0.09435489430032279,0.060091452274000035,0.0952898268249552,0.5884235674446497,0.09462129876073772,0.17130988421685328,0.0558470138975321,0.5263606186865097,0.3452053615824341,0.11982719242308511,5096079360
d01,scale_only_foundation,0.5058345635486978,0.12711068508295362,0.2755031119590055,0.31977552332677167,0.26564895889805,0.2805924870859125,0.2866450881183084,0.5884235674446497,0.5431333699459016,0.02617281737839214,0.3794353946896736,0.020793332933457333,0.274942469967795,0.5725526653627214,5096079360
d02,contact_instrumented,0.6607211793507481,0.46339661835546403,0.260477661195217,0.12010456516773615,0.2203646846648855,0.22345376291427732,0.22845066719027007,0.5884235674446497,0.2566556263651742,0.10124788026640516,0.20997470677871424,0.24120294606619574,0.3804629925845078,0.35769321663964015,5096079360
d02,data_scaled_foundation,0.5203568128297634,0.1675436490428531,0.2434621554618571,0.3144598664793791,0.2646472030419065,0.2766592734074916,0.2779111514830315,0.5884235674446497,0.4761445878359945,0.03306492504116176,0.36392018534252146,0.027324402425310302,0.3558438169802443,0.5631702417188992,5096079360
d02,embodiment_diverse_scaling,0.5852418662034858,0.3020377972053632,0.23986255018801678,0.29490663606649087,0.25184775472124227,0.2612965644909831,0.15981980881293067,0.5884235674446497,0.39023611395999064,0.06018309632517274,0.303257651844709,0.11508622584398984,0.38788553108249335,0.4796470071125759,5096079360
d02,latency_safety_guarded,0.7232685435114482,0.5994692532876759,0.2568619350027021,0.2628229145994464,0.10184620368112227,0.07088166673337892,0.23907464414243515,0.5884235674446497,0.1925569652428874,0.1265466098727432,0.1523343251927244,0.3199428411665685,0.3879455446351229,0.2776917414734591,5096079360
d02,oracle_bottleneck_router,0.9994595336822084,1.0,0.19418076246937874,0.019391878552599058,0.010488375719266623,0.0,0.007698813783682572,0.5884235674446497,0.0,0.2018113066666638,0.0,0.6639507710197475,0.48654599242668134,0.0,5096079360
d02,regime_aware_router,0.8878090171866097,0.8963497001848454,0.21997020092012917,0.11707534233675125,0.09435489430032279,0.06006929962376961,0.09436679973201928,0.5884235674446497,0.09462129876073772,0.17130988421685328,0.0558470138975321,0.5263606186865097,0.4441560255461646,0.11982719242308511,5096079360
d02,scale_only_foundation,0.5097855098316509,0.13916455562051003,0.2611251643266819,0.31891284646883256,0.26564895889805,0.2805752335487521,0.28592619073669057,0.5884235674446497,0.5431333699459016,0.02617281737839214,0.3794353946896736,0.020793332933457333,0.34799211493198323,0.5725526653627214,5096079360
d03,contact_instrumented,0.6640164443715335,0.47382462963776895,0.2483976073072182,0.11937976193445679,0.2203646846648855,0.22343926684961168,0.22784666449587054,0.5884235674446497,0.2566556263651742,0.10124788026640516,0.20997470677871424,0.24120294606619574,0.4458861361289714,0.35769321663964015,5096079360
d03,data_scaled_foundation,0.5255143053903626,0.18034255031124624,0.22494075720130083,0.31334858258374576,0.2646472030419065,0.2766370477295799,0.2769850815700054,0.5884235674446497,0.4761445878359945,0.03306492504116176,0.36392018534252146,0.027324402425310302,0.4150211579430588,0.5631702417188992,5096079360
d03,embodiment_diverse_scaling,0.5889361982395082,0.31274373912049674,0.22624221316287976,0.2940894158449805,0.25184775472124227,0.26128022008655005,0.15913879196167482,0.5884235674446497,0.39023611395999064,0.06018309632517274,0.303257651844709,0.11508622584398984,0.44875740639852124,0.4796470071125759,5096079360
d03,latency_safety_guarded,0.7264854567468098,0.6100594785343116,0.2449608968110389,0.2621088523079446,0.10184620368112227,0.07086738548754935,0.238479592232852,0.5884235674446497,0.1925569652428874,0.1265466098727432,0.1523343251927244,0.3199428411665685,0.4567127498415318,0.2776917414734591,5096079360
d03,oracle_bottleneck_router,0.9997367104375365,1.0,0.17949280541384713,0.01851060112926754,0.010488375719266623,0.0,0.007342061547066053,0.5884235674446497,0.0,0.2018113066666638,0.0,0.6639507710197475,0.5680116611199992,0.0,5096079360
d03,regime_aware_router,0.8915977345650292,0.9083554545692007,0.20641117246765986,0.11626180062960276,0.09435489430032279,0.060053028789626796,0.09368884830939546,0.5884235674446497,0.09462129876073772,0.17130988421685328,0.0558470138975321,0.5263606186865097,0.520271920902877,0.11982719242308511,5096079360
d03,scale_only_foundation,0.5129175759375981,0.14855576453391042,0.24988770011007302,0.3182385986158353,0.26564895889805,0.2805617485916919,0.28536431752586305,0.5884235674446497,0.5431333699459016,0.02617281737839214,0.3794353946896736,0.020793332933457333,0.40418414951982135,0.5725526653627214,5096079360
